ID,bedrooms,bathrooms,living_space,address,city,state,zipcode,latitude,longitude,property_url,price
1,3,3,1706.0,"10615 Sara Bear Ln, Truckee, CA 96161",Truckee,CA,96161,39.32298,-120.174446,https://www.zillow.com/homedetails/10615-Sara-Bear-Ln-Truckee-CA-96161/114451084_zpid/,1275000.0
2,5,3,2142.0,"11553 E Ridge Rd, Truckee, CA 96161",Truckee,CA,96161,39.33503,-120.15787,https://www.zillow.com/homedetails/11553-E-Ridge-Rd-Truckee-CA-96161/19434659_zpid/,949900.0
3,4,2,2362.0,"11265 Mount Rose View Dr, Truckee, CA 96161",Truckee,CA,96161,39.363483,-120.15161,https://www.zillow.com/homedetails/11265-Mount-Rose-View-Dr-Truckee-CA-96161/250176149_zpid/,1475000.0
4,4,2,1552.0,"11862 Rio Vista Dr, Truckee, CA 96161",Truckee,CA,96161,39.31592,-120.194115,https://www.zillow.com/homedetails/11862-Rio-Vista-Dr-Truckee-CA-96161/17694705_zpid/,850000.0
5,4,2,1690.0,"2538 Elwood Ave, South Lake Tahoe, CA 96150",South Lake Tahoe,CA,96150,38.922966,-119.984344,https://www.zillow.com/homedetails/2538-Elwood-Ave-South-Lake-Tahoe-CA-96150/195375512_zpid/,699000.0
6,4,4,3192.0,"2164 Catalina Dr, South Lake Tahoe, CA 96150",South Lake Tahoe,CA,96150,38.93268,-120.00925,https://www.zillow.com/homedetails/2164-Catalina-Dr-South-Lake-Tahoe-CA-96150/18570844_zpid/,2895000.0
7,3,2,1104.0,"2530 William Ave, South Lake Tahoe, CA 96150",South Lake Tahoe,CA,96150,38.92329,-119.98516,https://www.zillow.com/homedetails/2530-William-Ave-South-Lake-Tahoe-CA-96150/18579734_zpid/,642000.0
8,3,2,1710.0,"2148 Albert Ave, South Lake Tahoe, CA 96150",South Lake Tahoe,CA,96150,38.925377,-120.01524,https://www.zillow.com/homedetails/2148-Albert-Ave-South-Lake-Tahoe-CA-96150/18572743_zpid/,799000.0
9,3,3,1412.0,"3020 Fresno Ave, South Lake Tahoe, CA 96150",South Lake Tahoe,CA,96150,38.937847,-119.98566,https://www.zillow.com/homedetails/3020-Fresno-Ave-South-Lake-Tahoe-CA-96150/195371730_zpid/,995000.0
10,2,2,1280.0,"2356 Sky Meadows Ct, South Lake Tahoe, CA 96150",South Lake Tahoe,CA,96150,38.922733,-119.995255,https://www.zillow.com/homedetails/2356-Sky-Meadows-Ct-South-Lake-Tahoe-CA-96150/18573978_zpid/,575000.0
